method,label,contents,mae_kcal_mol,rmse_kcal_mol,mae_change_vs_structure,paired_ci_low_95,paired_ci_high_95,fraction_molecules_improved,interpretation
A_structure_only,Structure only,none,0.3033484655954973,0.5860682079014722,0.0,,,,matched causal baseline
B_empirical_residual,Empirical/residual-corrected,Abraham E/S/A/B/L + corrected OpenFF + corrected GBn2,0.2427114968435519,0.5223263315259199,-0.06063696875194537,-0.10846401845024138,-0.021678297306191825,0.6352941176470588,strongest isolated block
C_computation_core,Computation-derived core,CombiSolv-QM + raw OpenFF + raw GBn2,0.2526797708683476,0.4217032674931534,-0.05066869472714972,-0.14441762304796793,0.029360250689581646,0.5647058823529412,lower point estimate alone; paired interval crosses zero
D_smd_water,SMD(water),MolSolv SMD(water),0.2531149568445899,0.3954937760303025,-0.05023350875090733,-0.12846209405280626,0.005594183097378165,0.47058823529411764,lower point estimate alone; paired interval crosses zero
E_confsolv,ConfSolv,six conformational/water-response summaries,0.2989909179660747,0.5615235421471564,-0.004357547629422555,-0.014172776426107179,0.004480840743399201,0.5294117647058824,neutral alone; complementary in stack
G_narrow_reference,Narrow cumulative stack,CombiSolv-QM + Abraham + corrected OpenFF/GBn2,0.2117583455960164,0.3455950684229257,-0.09159011999948086,-0.18290361699716012,-0.018690167630848124,0.6588235294117647,secondary cumulative comparison
H_narrow_smd_reference,Narrow + SMD,narrow stack + MolSolv SMD(water),0.2065202326123044,0.3247721634400191,-0.09682823298319279,-0.2086385564792761,-0.016358500696971947,0.6,secondary cumulative comparison
F_full_solvai,Full SolvAI,all 15 response priors,0.2022340672191099,0.3176448926368878,-0.10111439837638733,-0.21507104085129367,-0.020276464489833643,0.6235294117647059,best predeclared stack; supports complementarity
