partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mean_absolute_error_difference,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,1.0,,0.0030514058927031554,-0.0008216436381937149,0.0070316310887249675,0.06108,0.3888888888888889
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,1.0,,0.0025114329718329493,-0.0024978040523260386,0.007851960254938168,0.16886,0.5138888888888888
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1,components,1.0,,0.004178874680428188,-0.0036001978308329873,0.01235894508124408,0.15096,0.5138888888888888
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1,components,1.0,,-0.0030244576641241683,-0.01923731589087684,0.015270916549281388,0.64754,0.5555555555555556
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1,components,1.0,,-0.003292910778869852,-0.010486535230205077,0.00445643728342099,0.81013,0.5555555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5,components,1.0,,0.00463006888852504,-0.005585609721769988,0.015629330729227394,0.19775,0.5694444444444444
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5,components,1.0,,0.0069991170307594,-0.004429089619672402,0.019726332772585748,0.12387,0.4861111111111111
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5,components,1.0,,0.0018704705181981686,-0.0015343303368358019,0.00542563352237801,0.14423,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p9,components,1.0,,0.0023357019807552556,-0.004062180315874631,0.008968151353897332,0.24072,0.5138888888888888
standardized_exclusion_primary,-1,,P1-C_actual_response,0p9,components,1.0,,0.0012436170820352946,-0.0021171335542270043,0.004674967448738408,0.23346,0.4861111111111111
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p9,components,1.0,,0.0013261318429239795,-0.0017242746094131556,0.004396889752596179,0.19607,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5,components,1.0,,0.0014674691535231485,-0.00830739226516337,0.011561862693906116,0.39132,0.5555555555555556
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5,components,1.0,,0.0001852498053784599,-0.011535373413939431,0.012666615382465383,0.49444,0.5833333333333334
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5,components,1.0,,0.00026443642050187854,-0.0033162771640536286,0.0039444873953867685,0.446,0.5416666666666666
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p9,components,1.0,,0.001791322969059879,-0.006893540829169795,0.010954069207194845,0.35186,0.5277777777777778
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p9,components,1.0,,-0.0027307574007174257,-0.018313725933652523,0.0143761154640975,0.63815,0.5416666666666666
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p9,components,1.0,,-0.003671945118914507,-0.011583303951083078,0.004536335621044284,0.81885,0.5555555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5_0p9,components,1.0,,0.006553061274923424,-0.005524749789730286,0.01927686546592092,0.14969,0.5138888888888888
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5_0p9,components,1.0,,0.009178280221477103,0.00023907702588461124,0.01975291657946225,0.02147,0.4583333333333333
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5_0p9,components,1.0,,0.001505807682091675,-0.002095061401485058,0.005235506391529203,0.20959,0.5138888888888888
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,components,1.0,,0.001037529410245387,-0.008370003781716881,0.010897649242725339,0.42166,0.5694444444444444
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,components,1.0,,0.004107163686235526,-0.0064304345730898955,0.015395868868442924,0.2317,0.5416666666666666
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,components,1.0,,-0.0002370551528155965,-0.004148418144444821,0.003737215579864311,0.54708,0.5555555555555556
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88001.0,0.0027736794928574604,-0.0018368593271767943,0.007628054831797006,0.12361,0.4583333333333333
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88002.0,0.002600388946262763,-0.00047846110635359836,0.005737543904383827,0.04889,0.4166666666666667
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88003.0,0.003874193825480112,-0.0007745515608713396,0.008431647863593185,0.04988,0.4027777777777778
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88004.0,0.0008442444804267888,-0.0032756308596018097,0.004971663671820604,0.3415,0.4583333333333333
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88005.0,-1.5596542580579667e-07,-0.0036564231381663137,0.0034690168994818476,0.49153,0.4444444444444444
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1,total,1.0,,0.0019657955971041333,-0.0011963934855822756,0.0051561019123604595,0.11235,0.4444444444444444
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1,total,1.0,,-0.001405106050184699,-0.009502405184817044,0.0068036432497507425,0.63374,0.5555555555555556
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p5,total,1.0,,0.0020333386330084777,-0.0009868839296863355,0.005074381922117029,0.09362,0.4166666666666667
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p5,total,1.0,,0.0009407771172924488,-0.0048097226876685824,0.00682886949975421,0.37684,0.5138888888888888
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p9,total,1.0,,0.0017294135423610564,-0.0012155301314204642,0.00469652095163083,0.12532,0.4305555555555556
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p9,total,1.0,,-0.000779514312477138,-0.008167973530170451,0.0066253820376058915,0.58365,0.5
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1_0p5,total,1.0,,0.0026399490198710024,-0.0008455549552848005,0.006130374342519375,0.06763,0.375
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1_0p5,total,1.0,,0.007621224804569486,-0.0009824566180895097,0.01679756244852307,0.04199,0.4722222222222222
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1_0p9,total,1.0,,0.001826711347428926,-0.001101184422110269,0.004776778442876586,0.11138,0.4166666666666667
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1_0p9,total,1.0,,0.00735574311829302,-0.004155342123349607,0.020317582726271658,0.11487,0.5277777777777778
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p5_0p9,total,1.0,,0.0017861200889823276,-0.0011732286533984101,0.004748419010273547,0.11792,0.4027777777777778
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p5_0p9,total,1.0,,0.001632043906010965,-0.0013468410333859929,0.004619491251826554,0.14154,0.4166666666666667
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1_0p5_0p9,total,1.0,,0.0017827411105904047,-0.0011520466037112705,0.0047195318583455005,0.11641,0.4027777777777778
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1_0p5_0p9,total,1.0,,0.002906030791937269,-0.0007291554705478069,0.006634305314924989,0.05854,0.375
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.1,,0.01099415049561421,0.005030885633721007,0.017349232399281468,6e-05,0.375
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.1,,0.019724948091894838,0.007484486232089357,0.03367436776495822,0.00029,0.3194444444444444
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.1,,0.03593487395067191,0.02057137105556132,0.05315706116329619,0.0,0.2777777777777778
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.2,,0.008651350079238914,0.0037436655291081897,0.013789168679535875,0.0002,0.375
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.2,,0.011938462873854227,-0.001271384772109813,0.026582162493237256,0.03936,0.4861111111111111
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.2,,0.012392372454471536,0.005523041273179984,0.019323011675343896,0.00016,0.2916666666666667
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.4,,0.011794081266990024,0.003441378239518539,0.020894476816423944,0.00209,0.4861111111111111
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.4,,0.02073572937029705,0.005074298773948297,0.03820880192320828,0.00385,0.3888888888888889
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.4,,0.01415418448599289,0.007589927671079189,0.021101341346691855,0.0,0.3194444444444444
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.7,,0.011919339486523057,0.003480761058696628,0.02108952626794827,0.00212,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.7,,0.008172121447061614,0.003568178756888086,0.012728046619028328,0.00022,0.3333333333333333
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.7,,0.007308745565234403,0.001728144194888391,0.012728544516432997,0.0052,0.3472222222222222
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1,total,1.0,,0.0068340387270952405,0.002140058229397697,0.01143739351943022,0.00198,0.375
