method,mean_mae,sd_mae,min_mae,max_mae
P1-A_frozen_solvai,0.18637437731052825,0.00502513552742069,0.1805920251383992,0.1935317163739467
P1-H_mean_shuffled_residual,0.18927607220210202,0.003965509871801093,0.1838684491392707,0.1928368242993324
P1-D_actual_minus_predicted,0.18985627192910542,0.0039804109875232,0.1836029764251313,0.193371129971985
P1-C_actual_response,0.1906751956082713,0.004165874444780307,0.1841455130050078,0.1938829052422807
P1-B_predicted_response,0.19159997084541808,0.005657364439688984,0.1849284451122655,0.1970554184077121
