partition,repeat,trajectory_fraction,lambda,component,n,mae
standardized_exclusion_primary,-1,0.7,0.1,van_der_waals_softcore,72,1.853022612026957
standardized_exclusion_primary,-1,0.7,0.5,coulomb,72,4.508769923838574
standardized_exclusion_primary,-1,0.7,0.5,coulomb_softcore,72,2.4478726411782548
standardized_exclusion_primary,-1,0.7,0.5,long_range_correction,72,0.062327459193324414
standardized_exclusion_primary,-1,0.7,0.5,pme,72,0.17522916844988587
standardized_exclusion_primary,-1,0.7,0.5,total,72,2.5260485255687652
standardized_exclusion_primary,-1,0.7,0.5,van_der_waals,72,4.022179680787989
standardized_exclusion_primary,-1,0.7,0.5,van_der_waals_softcore,72,0.883754534714667
standardized_exclusion_primary,-1,0.7,0.9,coulomb,72,4.659099829636641
standardized_exclusion_primary,-1,0.7,0.9,coulomb_softcore,72,0.9069818273945649
standardized_exclusion_primary,-1,0.7,0.9,long_range_correction,72,0.01248360419070017
standardized_exclusion_primary,-1,0.7,0.9,pme,72,0.025167490558125807
standardized_exclusion_primary,-1,0.7,0.9,total,72,4.236583878255374
standardized_exclusion_primary,-1,0.7,0.9,van_der_waals,72,1.4061951054505593
standardized_exclusion_primary,-1,0.7,0.9,van_der_waals_softcore,72,0.11708338657319299
standardized_exclusion_primary,-1,1.0,0.1,coulomb,72,4.864140271516803
standardized_exclusion_primary,-1,1.0,0.1,coulomb_softcore,72,3.3392806658995706
standardized_exclusion_primary,-1,1.0,0.1,long_range_correction,72,0.10749793403194721
standardized_exclusion_primary,-1,1.0,0.1,pme,72,0.5190098522811204
standardized_exclusion_primary,-1,1.0,0.1,total,72,4.836518882245742
standardized_exclusion_primary,-1,1.0,0.1,van_der_waals,72,5.056257291175927
standardized_exclusion_primary,-1,1.0,0.1,van_der_waals_softcore,72,1.8494384298892095
standardized_exclusion_primary,-1,1.0,0.5,coulomb,72,4.207369413028765
standardized_exclusion_primary,-1,1.0,0.5,coulomb_softcore,72,2.3032904520574604
standardized_exclusion_primary,-1,1.0,0.5,long_range_correction,72,0.06077887912163243
standardized_exclusion_primary,-1,1.0,0.5,pme,72,0.1692004195998737
standardized_exclusion_primary,-1,1.0,0.5,total,72,2.33261021408582
standardized_exclusion_primary,-1,1.0,0.5,van_der_waals,72,3.7083520036711692
standardized_exclusion_primary,-1,1.0,0.5,van_der_waals_softcore,72,0.8419968447629128
standardized_exclusion_primary,-1,1.0,0.9,coulomb,72,4.058965246499077
standardized_exclusion_primary,-1,1.0,0.9,coulomb_softcore,72,0.7706490828860338
standardized_exclusion_primary,-1,1.0,0.9,long_range_correction,72,0.012229528241385144
standardized_exclusion_primary,-1,1.0,0.9,pme,72,0.023010770611326475
standardized_exclusion_primary,-1,1.0,0.9,total,72,3.587630403690181
standardized_exclusion_primary,-1,1.0,0.9,van_der_waals,72,1.2804291232558813
standardized_exclusion_primary,-1,1.0,0.9,van_der_waals_softcore,72,0.10287100268753956
standardized_exclusion_repeat,0,0.1,0.1,coulomb,72,6.54018787457039
standardized_exclusion_repeat,0,0.1,0.1,coulomb_softcore,72,4.735760066021482
standardized_exclusion_repeat,0,0.1,0.1,long_range_correction,72,0.10766282609304975
standardized_exclusion_repeat,0,0.1,0.1,pme,72,0.6652354187366069
standardized_exclusion_repeat,0,0.1,0.1,total,72,6.3760760881013745
standardized_exclusion_repeat,0,0.1,0.1,van_der_waals,72,6.754002414372657
standardized_exclusion_repeat,0,0.1,0.1,van_der_waals_softcore,72,2.397576150995479
standardized_exclusion_repeat,0,0.1,0.5,coulomb,72,4.8997321714208715
standardized_exclusion_repeat,0,0.1,0.5,coulomb_softcore,72,2.7489262833554324
standardized_exclusion_repeat,0,0.1,0.5,long_range_correction,72,0.059673017520551395
standardized_exclusion_repeat,0,0.1,0.5,pme,72,0.2593051938526737
standardized_exclusion_repeat,0,0.1,0.5,total,72,3.077195569413226
standardized_exclusion_repeat,0,0.1,0.5,van_der_waals,72,4.45235671816409
standardized_exclusion_repeat,0,0.1,0.5,van_der_waals_softcore,72,1.009472720150009
standardized_exclusion_repeat,0,0.1,0.9,coulomb,72,7.625888140519539
standardized_exclusion_repeat,0,0.1,0.9,coulomb_softcore,72,1.5044145730316907
standardized_exclusion_repeat,0,0.1,0.9,long_range_correction,72,0.011807962387219793
standardized_exclusion_repeat,0,0.1,0.9,pme,72,0.04716248616960872
standardized_exclusion_repeat,0,0.1,0.9,total,72,7.070600344876265
standardized_exclusion_repeat,0,0.1,0.9,van_der_waals,72,2.0863516800133817
standardized_exclusion_repeat,0,0.1,0.9,van_der_waals_softcore,72,0.18106894219203146
standardized_exclusion_repeat,0,0.2,0.1,coulomb,72,6.201618477697371
standardized_exclusion_repeat,0,0.2,0.1,coulomb_softcore,72,4.185908928060673
standardized_exclusion_repeat,0,0.2,0.1,long_range_correction,72,0.10689684194103158
standardized_exclusion_repeat,0,0.2,0.1,pme,72,0.5612057943997502
standardized_exclusion_repeat,0,0.2,0.1,total,72,5.623713569392081
