partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,1.0,,0.18290374217414063,0.29094351166557914,0.11209693702621581,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1,components,1.0,,0.18457118388273586,0.2918641520698941,0.11592006156888957,0.7361111111111112,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1,components,1.0,,0.17736785153818352,0.2860663753342606,0.09233164393836901,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1,components,1.0,,0.17709939842343783,0.2819915205223818,0.10776546210327809,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5,components,1.0,,0.18502237809083275,0.2898722727190651,0.11410890810089658,0.75,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5,components,1.0,,0.18739142623306707,0.3002376478159405,0.11328352957110421,0.7222222222222222,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5,components,1.0,,0.18226277972050586,0.29213349941252303,0.11203875221855253,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p9,components,1.0,,0.18272801118306292,0.2911061266189679,0.11603679903526798,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p9,components,1.0,,0.181635926284343,0.29103128805747497,0.11255110984327377,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p9,components,1.0,,0.18171844104523166,0.29015045337578493,0.11276986045904236,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5,components,1.0,,0.18185977835583084,0.28605260106344343,0.1137561656747732,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5,components,1.0,,0.18057755900768613,0.289121333270806,0.10720030378664558,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5,components,1.0,,0.18065674562280953,0.2900942887085661,0.10656610894975937,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p9,components,1.0,,0.18218363217136757,0.2915371954766818,0.10768830457984824,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p9,components,1.0,,0.17766155180159027,0.2850896759610667,0.09401364414821778,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p9,components,1.0,,0.1767203640833932,0.2808642054784822,0.10909440566100526,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5_0p9,components,1.0,,0.18694537047723112,0.28686786910381934,0.11189723575604882,0.7083333333333334,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5_0p9,components,1.0,,0.1895705894237848,0.2994670859465432,0.12174447399858934,0.7361111111111112,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5_0p9,components,1.0,,0.18189811688439936,0.29172356872187216,0.1107014058066007,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,components,1.0,,0.18142983861255307,0.28630396562408045,0.11440846226131485,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,components,1.0,,0.1844994728885432,0.2950640137615488,0.10622466553157461,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,components,1.0,,0.18015525404949206,0.28966762013160446,0.10921965132424227,0.75,72
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88001.0,0.18316598869516515,0.2894175933024339,0.12087765832614306,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88002.0,0.18299269814857044,0.2912769544747509,0.11622681539690471,0.75,72
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88003.0,0.1842665030277878,0.2895026297479873,0.12591924103049568,0.75,72
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88004.0,0.18123655368273447,0.2898296208467471,0.10998057698349051,0.75,72
standardized_exclusion_primary,-1,,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88005.0,0.18039215323688187,0.28864996868133935,0.10863779640860938,0.75,72
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1,total,1.0,,0.1823581047994118,0.29078090607387336,0.11264776920384967,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1,total,1.0,,0.178987203152123,0.28371434996270983,0.11382362661929013,0.7916666666666666,72
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p5,total,1.0,,0.18242564783531615,0.29058653465573375,0.11634943234754513,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p5,total,1.0,,0.18133308631960013,0.28995198019058716,0.11607045461275323,0.75,72
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p9,total,1.0,,0.18212172274466873,0.29088098339411755,0.11481233873971919,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p9,total,1.0,,0.17961279488983056,0.28457109175916423,0.11414259535723903,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1_0p5,total,1.0,,0.18303225822217872,0.29153649699325096,0.11059483662593339,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1_0p5,total,1.0,,0.1880135340068772,0.2956938595882536,0.1167000016668619,0.7361111111111112,72
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1_0p9,total,1.0,,0.1822190205497366,0.29088624040467215,0.11561793881917826,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1_0p9,total,1.0,,0.1877480523206007,0.29121943627901525,0.12075636743849494,0.7222222222222222,72
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p5_0p9,total,1.0,,0.18217842929129002,0.2907061261023808,0.11582107212948878,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p5_0p9,total,1.0,,0.18202435310831866,0.2906149980328087,0.11445956050236816,0.75,72
