lambda_subset,n_molecules,mean,ci_low_95,ci_high_95,fraction_below_zero,mae_P1-F_generic_posterior,mae_P1-F_solvai_conditioned_posterior
0p1,72,-1.2141386132968555,-1.7144000419825556,-0.7209333147468892,0.7361111111111112,4.217602831105611,3.003464217808756
0p1_0p5,72,-1.7150517936538068,-2.577892232016318,-0.8509914537721752,0.6666666666666666,5.314391597143502,3.5993398034896953
0p1_0p9,72,-0.15813055487760863,-0.4395304332374841,0.11930864976331308,0.5277777777777778,2.5583628573075408,2.4002323024299326
0p5,72,-4.003033728476648,-4.765507953607963,-3.2483567584096775,0.9027777777777778,8.115005911013776,4.111972182537128
0p5_0p9,72,-5.848166399323201,-7.100050672838599,-4.598141566386572,0.7916666666666666,10.526804881435433,4.678638482112232
0p9,72,-3.1878007837299043,-3.8999681407112035,-2.47966909574761,0.8055555555555556,6.719165453115124,3.531364669385219
