partition,repeat,posterior,lambda_subset,n,mae,rmse,coverage_50,coverage_80,coverage_90,coverage_95,mean_width_95
standardized_exclusion_primary,-1,P1-F_generic_posterior,0p1,144,4.228115149237971,5.590159950180722,0.4861111111111111,0.8194444444444444,0.9583333333333334,0.9652777777777778,21.617668469033664
standardized_exclusion_primary,-1,P1-F_generic_posterior,0p1_0p5,72,5.269509981730668,6.672827291570944,0.4861111111111111,0.7777777777777778,0.9027777777777778,0.9583333333333334,26.789005460486
standardized_exclusion_primary,-1,P1-F_generic_posterior,0p1_0p9,72,2.526834544604579,3.0280068193539,0.5138888888888888,0.875,0.9583333333333334,1.0,14.445597406140113
standardized_exclusion_primary,-1,P1-F_generic_posterior,0p5,144,7.960408157906629,10.143237414491807,0.4791666666666667,0.7916666666666666,0.9166666666666666,0.9652777777777778,38.292604121804004
standardized_exclusion_primary,-1,P1-F_generic_posterior,0p5_0p9,72,10.355618701797885,12.503207301386363,0.4444444444444444,0.7361111111111112,0.9027777777777778,0.9583333333333334,47.35505371724242
standardized_exclusion_primary,-1,P1-F_generic_posterior,0p9,144,6.645130768691462,9.404950982549053,0.4722222222222222,0.7708333333333334,0.9375,0.9791666666666666,31.63536398381933
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior,0p1,144,2.9988129943122854,3.7878746315032954,0.5347222222222222,0.875,0.9236111111111112,0.9652777777777778,16.05348855701004
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior,0p1_0p5,72,3.6009841871072936,4.54409592058541,0.5277777777777778,0.8611111111111112,0.8888888888888888,0.9444444444444444,18.326033867317346
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior,0p1_0p9,72,2.354427783466422,2.853139084926798,0.5694444444444444,0.8611111111111112,0.9583333333333334,0.9861111111111112,13.703479799256682
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior,0p5,144,4.219744902631543,5.628113780744868,0.5416666666666666,0.875,0.9166666666666666,0.9444444444444444,22.44715260509421
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior,0p5_0p9,72,4.93623357373926,6.620572904234634,0.5555555555555556,0.8888888888888888,0.9305555555555556,0.9444444444444444,26.417908062989397
