method,n,mae,rmse,median_absolute_error,r2
A_structure_only,85,0.38482234658678305,0.674614376161052,0.22200771604938185,0.9526927520805402
F_full_solvai,85,0.2533495697167759,0.36945976143000125,0.1580570987654326,0.9858110325932207
