partition,repeat,mean_mae,sd_mae
primary,-1,0.30715127782498153,0.0027138623165481324
repeat,0,0.31829526572932876,0.004572467828018579
repeat,1,0.3111226154663343,0.0028659165486671556
repeat,2,0.31229090890600686,0.004749589014276238
repeat,3,0.3093287804165368,0.0071658205366902155
repeat,4,0.3095957681465921,0.006098481850069124
