partition,repeat,split_seed,mae_difference_vs_structure,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved,material,outcome
standardized_exclusion_primary,-1,,-0.10111439837638736,-0.214402526114288,-0.020403173445183276,0.99638,0.6235294117647059,True,positive
standardized_exclusion_repeat,0,314159.0,-0.10991724218279945,-0.22215886037575255,-0.02912497556372561,0.99852,0.6352941176470588,True,positive
standardized_exclusion_repeat,1,271828.0,-0.10048332023550126,-0.20716589475963465,-0.023940484109931638,0.99776,0.5882352941176471,True,positive
standardized_exclusion_repeat,2,161803.0,-0.10091912067123154,-0.21271708889109317,-0.02335286603142108,0.99793,0.5882352941176471,True,positive
standardized_exclusion_repeat,3,141421.0,-0.10984186834215093,-0.22127887256328366,-0.029498683484410836,0.99851,0.6470588235294118,True,positive
standardized_exclusion_repeat,4,173205.0,-0.10673923201317584,-0.21657600443653371,-0.02841203125687266,0.99861,0.611764705882353,True,positive
standardized_exclusion_zero_arrow,-1,,-0.12788175472040678,-0.2458278975354033,-0.03779489646877246,0.99911,0.6352941176470588,True,positive
