regime,threshold,mae_difference_vs_structure,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved,material,outcome
global_family,,-0.7963691980729327,-0.9652108990616245,-0.6351874357329601,1.0,0.9058823529411765,True,positive
global_scaffold,,-0.34965174246031705,-0.46664501364515265,-0.23979529684030979,1.0,0.7764705882352941,True,positive
global_butina_0_70,,-0.13108678841684768,-0.2402472551064029,-0.051353630371666646,0.99986,0.7058823529411765,True,positive
global_nn_0.50,0.5,-0.14166691034598936,-0.25949391510951547,-0.053033901111887806,0.99973,0.6705882352941176,True,positive
global_nn_0.60,0.6,-0.12913411486668713,-0.23949504544104713,-0.04779537803052705,0.99979,0.6352941176470588,True,positive
global_nn_0.70,0.7,-0.1317376371252195,-0.2411738837383928,-0.05037431775339684,0.9998,0.6823529411764706,True,positive
global_nn_0.80,0.8,-0.12745899470640007,-0.2375603985525588,-0.045757146067796114,0.99974,0.6823529411764706,True,positive
