regime,threshold,mae_difference_vs_structure,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved,material,outcome
global_family,,-0.7941847495279594,-0.9631443783562228,-0.6332538252229873,1.0,0.9176470588235294,True,positive
global_scaffold,,-0.3519127706063902,-0.47018209877561207,-0.24170463216140112,1.0,0.7764705882352941,True,positive
global_butina_0_70,,-0.1337727740014518,-0.2412287743617063,-0.056439597331348935,0.99997,0.7176470588235294,True,positive
global_nn_0.50,0.5,-0.1398384298604617,-0.2576258008699025,-0.05230569712139358,0.99979,0.6705882352941176,True,positive
global_nn_0.60,0.6,-0.13252983777881508,-0.24282742925776668,-0.0497789432064395,0.99976,0.6588235294117647,True,positive
global_nn_0.70,0.7,-0.13215805323944316,-0.23862471769147395,-0.052166494703482946,0.99985,0.6705882352941176,True,positive
global_nn_0.80,0.8,-0.12984753869436583,-0.23818234492387635,-0.050202881123688724,0.99989,0.6823529411764706,True,positive
