partition,repeat,split_seed,method,shuffle_seed,mae,rmse,median_absolute_error,r2,n
repeat,0,314159,A_structure_only,,0.3177992605949793,0.5850273401160279,0.18238905886243506,0.9644230408513139,85
repeat,0,314159,B_empirical_residual,,0.2506345674058515,0.5342084590607127,0.11177220017636857,0.9703354324519728,85
repeat,0,314159,C_computation_core,,0.25914018041031284,0.4177068017102381,0.1474282738095214,0.9818632446631171,85
repeat,0,314159,D_smd_water,,0.24927065708579732,0.3950205605394642,0.13730090388007188,0.9837798113109832,85
repeat,0,314159,E_confsolv,,0.3105564203444343,0.5713254331016534,0.173089737654319,0.9660700190954774,85
repeat,0,314159,F_full_solvai,,0.20522491259207407,0.32255109490642137,0.11652294973545008,0.9891853232961558,85
repeat,0,314159,G_narrow_reference,,0.21534241623093706,0.3498076796510935,0.11215715388007297,0.9872803494616299,85
repeat,0,314159,H_narrow_smd_reference,,0.20464637636684316,0.32566966076129783,0.1071927579365104,0.9889751902518285,85
repeat,1,271828,A_structure_only,,0.31058564748417844,0.5724022285738343,0.16818158068783262,0.9659420007099857,85
repeat,1,271828,B_empirical_residual,,0.24851850314088583,0.5266949277076952,0.1253517636684296,0.9711640162539598,85
repeat,1,271828,C_computation_core,,0.25209416896721704,0.40831888510924674,0.13874680335096845,0.9826693267603072,85
repeat,1,271828,D_smd_water,,0.2419907778555867,0.3845745365213921,0.12496768077601583,0.9846263301338711,85
repeat,1,271828,E_confsolv,,0.30481267746654156,0.5570635903406096,0.16853079783950742,0.9677428459701644,85
repeat,1,271828,F_full_solvai,,0.19721922002282422,0.3109510864817754,0.10778791203703753,0.9899491993914966,85
repeat,1,271828,G_narrow_reference,,0.21409876302520986,0.3336448141233951,0.12683337522045735,0.9884286172773731,85
repeat,1,271828,H_narrow_smd_reference,,0.2033359519841268,0.31545845052068594,0.11535524691358212,0.9896557065609245,85
repeat,2,161803,A_structure_only,,0.31308938179012363,0.587264506517292,0.1650133046737272,0.9641504253587327,85
repeat,2,161803,B_empirical_residual,,0.25844117051302046,0.544233048841522,0.11497657627866786,0.9692116565759241,85
repeat,2,161803,C_computation_core,,0.26385276510530214,0.42663042341037144,0.13741837522046207,0.9810800430235561,85
repeat,2,161803,D_smd_water,,0.25221539012086314,0.40389603811059693,0.12520285493827865,0.9830427397150834,85
repeat,2,161803,E_confsolv,,0.30649427789189765,0.5704722335230731,0.17165504850088809,0.9661712833765065,85
repeat,2,161803,F_full_solvai,,0.20967829865909338,0.3300654701733075,0.11731389991181018,0.9886755612784177,85
repeat,2,161803,G_narrow_reference,,0.22158589047619084,0.3546603804766365,0.1243165555555592,0.9869249953662257,85
repeat,2,161803,H_narrow_smd_reference,,0.2124119058797593,0.3385566672294727,0.10505608245149745,0.9880854061690736,85
repeat,3,141421,A_structure_only,,0.3160190509570488,0.5961762714836074,0.15828908730158986,0.9630541320734992,85
repeat,3,141421,B_empirical_residual,,0.250623790712211,0.5373518557502405,0.1230879074074096,0.9699853000422168,85
repeat,3,141421,C_computation_core,,0.2659393041420279,0.4387760438772891,0.1512147579365093,0.9799874552343772,85
repeat,3,141421,D_smd_water,,0.24065463393505604,0.39336108509157364,0.10968410493827818,0.9839158065912595,85
repeat,3,141421,E_confsolv,,0.3002935097183319,0.5661166813868682,0.1653180224867743,0.9666858754981138,85
repeat,3,141421,F_full_solvai,,0.20530061193069885,0.3322525074777991,0.11518989197530838,0.9885249910065469,85
repeat,3,141421,G_narrow_reference,,0.2195694163891483,0.35221301406982186,0.12310239197531114,0.9871048232901932,85
repeat,3,141421,H_narrow_smd_reference,,0.20644365742037585,0.33510025181058384,0.11442338712521982,0.9883274428611185,85
repeat,4,173205,A_structure_only,,0.3072717327393923,0.5665816720009532,0.1640346671075701,0.966631126653816,85
repeat,4,173205,B_empirical_residual,,0.25600336299927406,0.5367836698613071,0.13216974647266289,0.9700487404585476,85
repeat,4,173205,C_computation_core,,0.2520322827134565,0.4086464783567751,0.1417340608465647,0.9826415068909732,85
repeat,4,173205,D_smd_water,,0.2428916565177924,0.37991453377040324,0.13005373875661186,0.9849966473935494,85
repeat,4,173205,E_confsolv,,0.3045770310535325,0.5651111978357685,0.17645928130511557,0.9668041092769776,85
repeat,4,173205,F_full_solvai,,0.19949974770723122,0.3066048728811851,0.10577126322751562,0.9902281991861664,85
repeat,4,173205,G_narrow_reference,,0.20975210669415925,0.32761740575779374,0.1247328703703765,0.9888429229001859,85
repeat,4,173205,H_narrow_smd_reference,,0.19572497116142745,0.3054261430331697,0.1165590057319199,0.9903031893344886,85
