method,repeats,mean_mae,sd_mae,minimum_mae,maximum_mae
A_structure_only,5,0.31295301471314446,0.004206740598072439,0.3072717327393923,0.3177992605949793
F_full_solvai,5,0.20737285802417263,0.004442534486346201,0.2005325007262165,0.212170261118892
