method,n,mae,rmse,median_absolute_error,r2
A_structure_only,85,0.3097661465141612,0.5958469627611127,0.14971898148147833,0.9630949362347198
F_full_solvai,85,0.20641749455337713,0.3262665997035961,0.11653469135802519,0.9889347371759658
