source_class,path,energy_sha256,config,config_sha256,beads,ti_point,lambda,time_step_ps,random_seed_fields,frames,observed_time_ps,has_dhdl,finite_dhdl,stream_id,independence_status,development_exposed,eligible_v3_development,eligible_v3_prospective_sentinel
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p95/output/Task5_MD_Transition_LIGAnnihilation_13__SYSTEM.ene,9b0cc7637b133f64a37e26ac3cad9c268ce055ae1346035386e005b2a9defef0,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p95/conf.xml,89d12e9284e1fcae16f08c90024066006508d76101c0404f136a681cd142d981,2.0,13.0,0.95,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_1p00/output/Task5_MD_Transition_LIGAnnihilation_14__SYSTEM.ene,4f992e3a614dad1968e6c1bbb07b6363b669f3eb19cb96964f12eca229e7e61f,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_1p00/conf.xml,86cacc2b6131e3ea711e80590f11f3f173c55c6067816bca07f5bf645db1d565,2.0,14.0,1.0,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p00/output/Task5_MD_Transition_LIGAnnihilation_0__SYSTEM.ene,81fd1b1c9db0b46747a9083a94189747a70f95f64c14a7d65e9234ed5c2a0f7f,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p00/conf.xml,c9c56e191afcb9920f06ae03250cf9270529180f0bc414c72c16d931cd40ee45,2.0,0.0,0.0,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p05/output/Task5_MD_Transition_LIGAnnihilation_1__SYSTEM.ene,a25e267181be3dca546ed551e407e35f7b8a40349a35ed7b0ac328708c2cc518,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p05/conf.xml,4ff267eca09a613a9e945742628a6dc0046c1d6d8077cb283b73a0a3121b23e0,2.0,1.0,0.05,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p20/output/Task5_MD_Transition_LIGAnnihilation_3__SYSTEM.ene,4521ed9b445756557cadf7bfc6dd2c85ce93a760b8b82507c0a16ef9d8ad9faf,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p20/conf.xml,8ced74993ab490b3ceb21c784e07beac5b04152ff9035302b7140a0a021c5491,2.0,3.0,0.2,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p30/output/Task5_MD_Transition_LIGAnnihilation_4__SYSTEM.ene,18f31d2f516f77ccf113161794bb08d6a29a3d5aeda6731b1144034a65715f8c,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p30/conf.xml,194c1cb0ac1f00563993202c5d497f79d5a1d7bfe5db0a4006845330d22b337c,2.0,4.0,0.3,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p40/output/Task5_MD_Transition_LIGAnnihilation_5__SYSTEM.ene,6ab61265c9fc04365e22b6863ad41840abd89b3c715a9b507f555ccf86c9d00c,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p40/conf.xml,c5ff06b12882c09f1c3c9bc45ec83db2521bd4623f3f9c7d2775d806e6411ce3,2.0,5.0,0.4,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p60/output/Task5_MD_Transition_LIGAnnihilation_7__SYSTEM.ene,7c3f4c67ecf7ad9fafe57c78665c3f0f88cf2b69c9ed6e88f54f861df55eeb6d,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p60/conf.xml,9c22fb8c6e9445bf6c54fb9b9f57661c7c95dc09c0bcbd247c27f7bcd5c7d846,2.0,7.0,0.6,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p70/output/Task5_MD_Transition_LIGAnnihilation_8__SYSTEM.ene,f1646fcb811ff44423993d715557221550b0be3dc301cf5f7824e080bd1910eb,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p70/conf.xml,e980488a60a44d66b24ed54ed1588abbc1be7c6a37940e166fbc80fe04c045e6,2.0,8.0,0.7,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p75/output/Task5_MD_Transition_LIGAnnihilation_9__SYSTEM.ene,7fcc6932b31c659c54774b45a0b1a44c6fa396c865bcd2fdc802d06728534baf,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p75/conf.xml,28f293fd2733cbdde31ac32a16528b0e89f4f257f6e3dc1f938ca42c3de85050,2.0,9.0,0.75,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
