budget,molecule_name,observed_mean_effect,centered_effect,target_shifted_effect,partition_0_effect,partition_1_effect,partition_2_effect,pooled_residual_variance_2p5ps
5,Acetamide,2.3316685723335993,1.9006650746854903,1.6006650746854902,2.6056018270487966,2.196330189790255,2.1930737001617455,1.104762133168894
5,AceticAcid,-0.7323109339041588,-1.1633144315522679,-1.463314431552268,-0.6783551246195243,-0.8704032793201533,-0.6481743977727987,1.104762133168894
5,Anthracene,0.9793346772688961,0.5483311796207871,0.24833117962078716,1.9243730739350378,0.9596539846547065,0.053976973216943946,1.104762133168894
5,Cyclohexane,0.5092738537031057,0.07827035605499677,-0.22172964394500322,1.3696763051507506,0.3996217221856678,-0.2414764662271014,1.104762133168894
5,DiMethylEther,-0.8814612908419632,-1.3124647884900722,-1.6124647884900722,-0.5799617450283856,-1.6603741037771538,-0.4040480237203501,1.104762133168894
5,EthylAcetate,-1.3372255962540323,-1.7682290939021412,-2.0682290939021413,-0.9507713470413586,-1.16560317589941,-1.895302265821328,1.104762133168894
5,Octane,0.9787617226560723,0.5477582250079633,0.24775822500796335,1.6718872108497007,-0.24189735811995122,1.5062953152384675,1.104762133168894
5,Octanol,1.5999869762233534,1.1689834785752444,0.8689834785752444,3.77003435793547,1.882569450055434,-0.8526428793208427,1.104762133168894
7,Acetamide,2.1309375352555926,1.7221689086571854,1.4221689086571854,1.926548671857974,2.4184842644780264,2.0477796694307777,1.2639718108521694
7,AceticAcid,-0.32979140088316744,-0.7385600274815746,-1.0385600274815745,-0.292560240385221,-0.21673970182063362,-0.48007426044364765,1.2639718108521694
7,Anthracene,0.4919075153284835,0.08313888873007635,-0.21686111126992363,0.038943013697139595,1.5035801649831368,-0.06680063269482606,1.2639718108521694
7,Cyclohexane,0.09691064785833332,-0.3118579787400738,-0.6118579787400737,0.7751926315149527,0.15049924556696337,-0.634959933506916,1.2639718108521694
7,DiMethylEther,-1.2010707327701318,-1.609839359368539,-1.909839359368539,-1.2727874001102464,-1.7964450477965772,-0.5339797504035717,1.2639718108521694
7,EthylAcetate,-0.7377473331896162,-1.1465159597880232,-1.4465159597880233,-0.5017595634647967,-0.6301253721365794,-1.0813570639674726,1.2639718108521694
7,Octane,1.9145026343247988,1.5057340077263917,1.2057340077263916,4.0055126477905025,-0.9696499842637141,2.7076452394476087,1.2639718108521694
7,Octanol,0.9045001468629641,0.49573152026455697,0.19573152026455698,1.7612233792832201,1.5021446403497154,-0.5498675790440433,1.2639718108521694
