molecule_name,molecule_id,split,selection_blocks,evaluation_blocks,selection_dense_integral_kcal_mol,evaluation_dense_integral_kcal_mol,absolute_dense_difference_kcal_mol
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1,"0,2","1,3",-7.325332911503675,-4.262607912927821,3.0627249985758533
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,2,"0,3","1,2",-6.934098266490251,-4.756592186924412,2.1775060795658385
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,3,"1,2","0,3",-4.756592186924412,-6.934098266490251,2.1775060795658385
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,4,"1,3","0,2",-4.262607912927821,-7.325332911503675,3.0627249985758533
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,5,"2,3","0,1",-4.94375184692819,-6.670386821118697,1.7266349741905076
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0,"0,1","2,3",-13.483541946723944,-8.045176980168653,5.438364966555291
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1,"0,2","1,3",-11.369006152547668,-10.244294206111984,1.1247119464356832
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,2,"0,3","1,2",-11.252771171049568,-10.399316763184604,0.8534544078649642
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,3,"1,2","0,3",-10.399316763184604,-11.252771171049568,0.8534544078649642
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,4,"1,3","0,2",-10.244294206111984,-11.369006152547668,1.1247119464356832
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,5,"2,3","0,1",-8.045176980168653,-13.483541946723944,5.438364966555291
