method,total_windows,molecule_name,molecule_id,mean_absolute_error_kcal_mol,mean_signed_error_kcal_mol,split_sd_absolute_error_kcal_mol,coverage_90
fixed_direct,5,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1.058702539619422,-0.7388458816633255,0.710469073590821,
fixed_direct,5,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1.8964405958624644,-1.8964405958624644,0.9208100551014089,
fixed_direct,5,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.562947249311982,-2.562947249311982,0.28081679668044834,
fixed_direct,5,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.0979926672923508,-0.8102657407697974,0.7567051483086153,
fixed_direct,5,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,2.236148867180913,-2.236148867180913,0.8407282357956151,
fixed_direct,5,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,2.7542589982642913,-2.7542589982642913,0.6650381174390445,
fixed_direct,7,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.9124915932628795,-0.7818674774122346,0.6008713664676198,
fixed_direct,7,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.191072954875402,-2.191072954875402,0.9435380920600471,
fixed_direct,7,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0.6162669708159186,-0.4871233281068557,0.5341908364407588,
fixed_direct,7,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0.7509938694436625,-0.4433253715474401,0.5950946197379957,
fixed_direct,7,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.5065083256258416,-2.5065083256258416,0.33358067080284326,
fixed_direct,7,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.5967084504785227,1.5967084504785227,0.7538036744658385,
fixed_direct,7,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,2.3554636103436972,-2.3554636103436972,0.24764921617122218,
fixed_direct,7,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,3.183418723098027,-3.183418723098027,0.8789207635403951,
fixed_solvai_bq,5,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2.229878027316443,1.616712712295314,0.5330112176561936,1.0
fixed_solvai_bq,5,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.047728694548022,-2.047728694548022,0.7848689819374226,1.0
fixed_solvai_bq,5,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,2.020293409419915,-1.9302390742533795,1.1283496927371752,1.0
fixed_solvai_bq,5,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1.5607584301352875,-1.5607584301352875,0.8211237896877431,1.0
fixed_solvai_bq,5,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.8069486176789957,-2.8069486176789957,0.5126712372487552,1.0
fixed_solvai_bq,5,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,2.5755158780297425,-2.5755158780297425,0.914038082102889,1.0
