molecule_name,total_windows,comparison,split_left,split_right,jaccard_added_lambdas
EthylAcetate,5,all_pairs,0,4,0.3333333333333333
EthylAcetate,5,all_pairs,0,5,0.0
EthylAcetate,5,all_pairs,1,2,0.0
EthylAcetate,5,all_pairs,1,3,0.0
EthylAcetate,5,all_pairs,1,4,0.3333333333333333
EthylAcetate,5,all_pairs,1,5,0.0
EthylAcetate,5,all_pairs,2,3,0.3333333333333333
EthylAcetate,5,all_pairs,2,4,0.3333333333333333
EthylAcetate,5,all_pairs,2,5,0.3333333333333333
EthylAcetate,5,all_pairs,3,4,0.3333333333333333
EthylAcetate,5,all_pairs,3,5,0.3333333333333333
EthylAcetate,5,all_pairs,4,5,0.3333333333333333
Anthracene,5,reversal,0,5,0.3333333333333333
Anthracene,5,reversal,1,4,0.0
Anthracene,5,reversal,2,3,0.3333333333333333
Anthracene,5,all_pairs,0,1,0.3333333333333333
Anthracene,5,all_pairs,0,2,0.0
Anthracene,5,all_pairs,0,3,0.0
Anthracene,5,all_pairs,0,4,0.0
Anthracene,5,all_pairs,0,5,0.3333333333333333
Anthracene,5,all_pairs,1,2,0.3333333333333333
Anthracene,5,all_pairs,1,3,0.3333333333333333
Anthracene,5,all_pairs,1,4,0.0
Anthracene,5,all_pairs,1,5,0.0
Anthracene,5,all_pairs,2,3,0.3333333333333333
Anthracene,5,all_pairs,2,4,0.0
Anthracene,5,all_pairs,2,5,0.0
Anthracene,5,all_pairs,3,4,0.0
Anthracene,5,all_pairs,3,5,0.0
Anthracene,5,all_pairs,4,5,0.0
Cyclohexane,7,reversal,0,5,0.14285714285714285
Cyclohexane,7,reversal,1,4,0.3333333333333333
Cyclohexane,7,reversal,2,3,0.0
Cyclohexane,7,all_pairs,0,1,0.3333333333333333
Cyclohexane,7,all_pairs,0,2,0.14285714285714285
Cyclohexane,7,all_pairs,0,3,0.0
Cyclohexane,7,all_pairs,0,4,0.14285714285714285
Cyclohexane,7,all_pairs,0,5,0.14285714285714285
Cyclohexane,7,all_pairs,1,2,0.6
Cyclohexane,7,all_pairs,1,3,0.0
Cyclohexane,7,all_pairs,1,4,0.3333333333333333
Cyclohexane,7,all_pairs,1,5,0.14285714285714285
Cyclohexane,7,all_pairs,2,3,0.0
Cyclohexane,7,all_pairs,2,4,0.3333333333333333
Cyclohexane,7,all_pairs,2,5,0.14285714285714285
Cyclohexane,7,all_pairs,3,4,0.3333333333333333
Cyclohexane,7,all_pairs,3,5,0.14285714285714285
Cyclohexane,7,all_pairs,4,5,0.0
Octane,7,reversal,0,5,0.14285714285714285
Octane,7,reversal,1,4,1.0
Octane,7,reversal,2,3,0.14285714285714285
Octane,7,all_pairs,0,1,0.14285714285714285
Octane,7,all_pairs,0,2,0.6
Octane,7,all_pairs,0,3,0.14285714285714285
Octane,7,all_pairs,0,4,0.14285714285714285
Octane,7,all_pairs,0,5,0.14285714285714285
Octane,7,all_pairs,1,2,0.14285714285714285
Octane,7,all_pairs,1,3,0.6
Octane,7,all_pairs,1,4,1.0
Octane,7,all_pairs,1,5,0.6
Octane,7,all_pairs,2,3,0.14285714285714285
Octane,7,all_pairs,2,4,0.14285714285714285
Octane,7,all_pairs,2,5,0.14285714285714285
Octane,7,all_pairs,3,4,0.6
Octane,7,all_pairs,3,5,1.0
Octane,7,all_pairs,4,5,0.6
Octanol,7,reversal,0,5,0.14285714285714285
Octanol,7,reversal,1,4,0.14285714285714285
Octanol,7,reversal,2,3,0.3333333333333333
Octanol,7,all_pairs,0,1,0.6
Octanol,7,all_pairs,0,2,0.3333333333333333
Octanol,7,all_pairs,0,3,0.14285714285714285
Octanol,7,all_pairs,0,4,0.14285714285714285
Octanol,7,all_pairs,0,5,0.14285714285714285
Octanol,7,all_pairs,1,2,0.6
Octanol,7,all_pairs,1,3,0.3333333333333333
Octanol,7,all_pairs,1,4,0.14285714285714285
Octanol,7,all_pairs,1,5,0.14285714285714285
Octanol,7,all_pairs,2,3,0.3333333333333333
Octanol,7,all_pairs,2,4,0.14285714285714285
Octanol,7,all_pairs,2,5,0.3333333333333333
Octanol,7,all_pairs,3,4,0.14285714285714285
Octanol,7,all_pairs,3,5,0.14285714285714285
Octanol,7,all_pairs,4,5,0.6
AceticAcid,7,reversal,0,5,0.14285714285714285
AceticAcid,7,reversal,1,4,0.3333333333333333
AceticAcid,7,reversal,2,3,0.3333333333333333
AceticAcid,7,all_pairs,0,1,0.14285714285714285
AceticAcid,7,all_pairs,0,2,0.14285714285714285
AceticAcid,7,all_pairs,0,3,0.14285714285714285
AceticAcid,7,all_pairs,0,4,0.6
AceticAcid,7,all_pairs,0,5,0.14285714285714285
AceticAcid,7,all_pairs,1,2,0.3333333333333333
AceticAcid,7,all_pairs,1,3,0.6
AceticAcid,7,all_pairs,1,4,0.3333333333333333
AceticAcid,7,all_pairs,1,5,0.14285714285714285
AceticAcid,7,all_pairs,2,3,0.3333333333333333
AceticAcid,7,all_pairs,2,4,0.14285714285714285
AceticAcid,7,all_pairs,2,5,0.6
AceticAcid,7,all_pairs,3,4,0.3333333333333333
AceticAcid,7,all_pairs,3,5,0.14285714285714285
AceticAcid,7,all_pairs,4,5,0.14285714285714285
Acetamide,7,reversal,0,5,0.14285714285714285
Acetamide,7,reversal,1,4,0.14285714285714285
Acetamide,7,reversal,2,3,0.14285714285714285
Acetamide,7,all_pairs,0,1,0.6
Acetamide,7,all_pairs,0,2,0.6
Acetamide,7,all_pairs,0,3,0.0
Acetamide,7,all_pairs,0,4,0.0
Acetamide,7,all_pairs,0,5,0.14285714285714285
Acetamide,7,all_pairs,1,2,0.6
Acetamide,7,all_pairs,1,3,0.0
Acetamide,7,all_pairs,1,4,0.14285714285714285
Acetamide,7,all_pairs,1,5,0.3333333333333333
Acetamide,7,all_pairs,2,3,0.14285714285714285
Acetamide,7,all_pairs,2,4,0.14285714285714285
Acetamide,7,all_pairs,2,5,0.3333333333333333
Acetamide,7,all_pairs,3,4,0.3333333333333333
Acetamide,7,all_pairs,3,5,0.14285714285714285
Acetamide,7,all_pairs,4,5,0.3333333333333333
DiMethylEther,7,reversal,0,5,0.3333333333333333
DiMethylEther,7,reversal,1,4,0.3333333333333333
DiMethylEther,7,reversal,2,3,0.14285714285714285
DiMethylEther,7,all_pairs,0,1,0.3333333333333333
DiMethylEther,7,all_pairs,0,2,0.14285714285714285
DiMethylEther,7,all_pairs,0,3,0.14285714285714285
DiMethylEther,7,all_pairs,0,4,0.14285714285714285
DiMethylEther,7,all_pairs,0,5,0.3333333333333333
DiMethylEther,7,all_pairs,1,2,0.3333333333333333
DiMethylEther,7,all_pairs,1,3,0.0
DiMethylEther,7,all_pairs,1,4,0.3333333333333333
DiMethylEther,7,all_pairs,1,5,0.14285714285714285
DiMethylEther,7,all_pairs,2,3,0.14285714285714285
DiMethylEther,7,all_pairs,2,4,0.3333333333333333
DiMethylEther,7,all_pairs,2,5,0.0
DiMethylEther,7,all_pairs,3,4,0.3333333333333333
DiMethylEther,7,all_pairs,3,5,0.6
DiMethylEther,7,all_pairs,4,5,0.3333333333333333
EthylAcetate,7,reversal,0,5,0.3333333333333333
EthylAcetate,7,reversal,1,4,0.3333333333333333
