total_windows,candidate,comparator,candidate_minus_comparator_mae_kcal_mol,ci90_low,ci90_high,ci95_low,ci95_high,fraction_molecules_improved
5,crossfit_oracle_bq,active_solvai_bq,-0.2411514111225398,-0.7185591355424946,0.25101802918188887,-0.8066544708096324,0.3400354237777383,0.625
5,crossfit_oracle_bq,uniform_solvai_bq,-0.2411514111225398,-0.7185591355424946,0.25101802918188887,-0.8066544708096324,0.3400354237777383,0.625
5,crossfit_oracle_bq,fixed_solvai_bq,-1.3410492508269136,-2.225495784747462,-0.4996718704963984,-2.398405470988741,-0.3478429329389183,0.875
5,crossfit_oracle_bq,generic_bq,-0.06835268487162724,-0.6934543276181698,0.5560071182774393,-0.7849738534542045,0.6299427131731526,0.625
5,crossfit_oracle_bq,uniform_direct,0.4310034976481091,-0.28081876863200084,1.137989012128864,-0.40044651377423496,1.272612707001283,0.375
5,crossfit_oracle_bq,fixed_direct,-0.10326893471104473,-0.6803693738559232,0.5204364997556699,-0.7794187785455491,0.645944995369496,0.625
7,crossfit_oracle_bq,active_solvai_bq,-0.44108225814597324,-0.9971947929328486,0.07287939967523084,-1.1102921044849199,0.15915795697568713,0.625
7,crossfit_oracle_bq,uniform_solvai_bq,-0.09228920876794383,-0.5616511491486204,0.37599035917841817,-0.6446764600584229,0.47082976314094177,0.625
7,crossfit_oracle_bq,fixed_solvai_bq,-0.8777273184054633,-1.497353882143554,-0.24708028472849858,-1.6043635254168263,-0.12842086726009344,0.75
7,crossfit_oracle_bq,generic_bq,0.4080142325716671,-0.2073537712539422,0.9901785540779944,-0.34358340069247356,1.0868327350861762,0.25
7,crossfit_oracle_bq,uniform_direct,0.40876862659840724,-0.23255320686628111,1.0749453521714034,-0.3414631233521517,1.2011956631041327,0.375
7,crossfit_oracle_bq,fixed_direct,-0.0828717606791382,-0.7141364939077978,0.563468878261453,-0.8393944686850157,0.6885225373948027,0.5
