source,scientific_role,processed_file,original_records,filtered_records,benchmark_overlaps_removed,version,url,doi,license,redistributed,reproduction_command,processed_bytes,processed_sha256
MolSolv SMD(water),water-specific quantum-continuum response teacher,molsolv_smd_water_nonbenchmark.parquet,1729545.0,350391,82,Zenodo record 7262826,https://zenodo.org/records/7262826,10.5281/zenodo.7262826,CC-BY-4.0,True,python scripts/download_data.py molsolv,17353622,758b9b56a991d874fb1067eca024dbc2244e67f8c8eb319db08ec4ab33e07460
ConfSolv H2O,water conformer and solvent-response hierarchy,confsolv_water_nonbenchmark.parquet,5392567.0,39878,13,Zenodo record 8292520,https://zenodo.org/records/8292520,10.5281/zenodo.8292520,CC-BY-4.0,True,python scripts/download_data.py confsolv,10233975,d283d2da04987a1802dbf60c5606394ac745c26609e2628144874b27bd037e27
SoluteML Abraham,empirical solute-response axes,soluteml_abraham_nonbenchmark.parquet,,8098,84,Zenodo record 5792296,https://zenodo.org/records/5792296,10.1021/acs.jcim.1c01103,CC-BY-4.0,True,python scripts/download_data.py soluteml,632777,4b90805c619a53b3b25a479c5c6b393333b575473738d5b290d899fb4a3e5fa2
OpenFE/OpenFF 2.3.0 FreeSolv ASFE,explicit-water alchemical response teacher,openff_alchemical_nonbenchmark.parquet,603.0,520,83,Zenodo record 21810272,https://zenodo.org/records/21810272,10.5281/zenodo.21810272,CC-BY-4.0,True,python scripts/download_data.py openff,82697,3d34e27040d69fe01c45b0b9e6424baee2ba9e3c220bc6659a89d30232f9b087
GBn2 / GNNImplicitSolvent,implicit and learned explicit-water response teacher,implicit_solvent_nonbenchmark.parquet,550.0,550,0,repository state recorded in global catalog,https://github.com/rinikerlab/GNNImplicitSolvent,10.1039/D4SC02432J,CC-BY-SA-4.0 data,True,python scripts/download_data.py implicit,59940,1a50219f3a0c0c60a754b430b4bc9c6c26beea1ed198e76e8aef7b14a8fa13a4
CombiSolv-QM water,COSMOtherm water-response teacher,combisolv_qm_water_nonbenchmark.parquet,3988.0,3963,25,Chemical Engineering Journal supplementary file,https://ars.els-cdn.com/content/image/1-s2.0-S1385894721008925-mmc1.txt,10.1016/j.cej.2021.129307,publisher supplementary terms; no standalone data license,False,python scripts/download_data.py combisolv-qm --accept-source-terms,283353,6fbaceff441b62c8399aae2dbd3b6cfbdfa10b86fc47cee8d60001c73da24832
