role,molecule_name,lambda,frames,mean_dhdl_kcal_mol_recomputed,five_block_sem_kcal_mol_recomputed,energy_sha256,component_sum_max_abs_difference,ti_point,existing_observation
calibration,Propane,0.0,51,13.09579277349804,1.488669088437272,9fd4b97f7c977315908631df18d3f6d11561293e0e6d6122d4768d0027c8bf7c,1.5660042151921516e-09,0,False
calibration,Propane,0.05,51,10.831497429198434,0.734409903200063,37d07482e77d8b7a8b93449d359b7d68c2ba15b154cc7b78296308239a79ae43,1.4000018921933588e-09,1,False
calibration,Propane,0.1,51,10.979366972121767,0.9402104417184691,977db1a582eeaaa884b45e966d85c6b9274d18fbbd0af73b8c80cf6b821a4ad1,1.4100045575560216e-09,2,True
calibration,Propane,0.2,51,9.261003840097842,0.9385891918569559,f347dd18241fc370a346d1cbced167ac8f62dee57b1def1a942c35bf224e1202,1.2100009882942686e-09,3,False
calibration,Propane,0.3,51,5.172510741465119,1.0089109396164044,cece947ae41a453f3b7db9417a0f8c783c08d7e0dddd2d185875484dc3c3da55,1.2899992185566589e-09,4,False
calibration,Propane,0.4,51,0.35525101797749026,2.7573148441461184,571c3a2de7e68dd8965ccd95dfcb3d1cbb98a2648321d78c2345fc0e1f686c6f,1.1599967653097565e-09,5,False
calibration,Propane,0.5,51,2.1750232095415254,1.2207084056159296,fdd4f4bab525d7b9d3a17994a52739b16a6dea30cd551b3741164ad3527a3ce6,1.190001430728671e-09,6,True
calibration,Propane,0.6,51,-6.122744541861373,2.1249045510495455,bdba9372ee132dce2e2a6850378b306b5a9bdf05b32dd64c9cdd0be164d1a122,1.1800018739904772e-09,7,False
calibration,Propane,0.7,51,-9.685662965275492,1.9975521390516306,8d1a992ea1522af7ce6de548380cc7b75fc8aaa81628dadf24dc92092d2e2f06,1.1999965465747664e-09,8,False
calibration,Propane,0.75,51,-11.582778312955066,2.3016918986158323,94d3b2891e88507181364076b32b92d84c4f002761f7371cef76cbec1632b279,1.232006496820759e-09,9,False
calibration,Propane,0.8,51,-10.186767571024902,2.6578022260444687,549ed0f77163d61005c713832524098c3974df06a06bf95090c0019fb180ff4f,1.2100009882942686e-09,10,False
calibration,Propane,0.85,51,-10.568003172223726,2.2746494450245445,26acb59e5873587ad6daa8f24d49429854b8458cde6eb73f435491e2931cd3ae,1.1319976067625248e-09,11,False
calibration,Propane,0.9,51,-9.445707010731569,2.024253607264751,f088ff60abfbcabcdff6bed4d98575ba2ea4cdc5eb25f0dcc493fa46b35a5946,1.0070007050444474e-09,12,True
