total_windows,candidate,comparator,candidate_minus_comparator_mae,ci90_low,ci90_high,ci95_low,ci95_high,fraction_candidate_improved
5,active_solvai_bq,fixed_solvai_bq,-1.3429011040902448,-2.508553980855612,-0.27876678504264885,-2.7471350233877483,-0.11750722835823635,0.75
5,active_solvai_bq,uniform_solvai_bq,0.0,0.0,0.0,0.0,0.0,0.0
5,active_solvai_bq,random_solvai_bq,-0.14335419498282706,-0.6026962036928104,0.29442749768150056,-0.6995493472943787,0.36565245850480843,0.5
5,active_solvai_bq,curvature_solvai_bq,0.1801880601673138,0.0,0.5405641805019414,0.0,0.5405641805019414,0.0
5,active_solvai_bq,generic_bq,-0.00827767144196695,-0.5579874332330288,0.5889305564641765,-0.6434486524021824,0.7030696590658864,0.625
5,active_solvai_bq,fixed_direct,-0.025822128539628397,-0.7364140642608448,0.6925734985465706,-0.8724686860892266,0.8173799368391543,0.5
5,active_solvai_bq,uniform_direct,0.5483685250142926,-0.10107235017739175,1.1589932376013172,-0.22262474746955335,1.2653327615954042,0.25
7,active_solvai_bq,fixed_solvai_bq,-0.9403822893935144,-2.123497567494401,0.13380131119626296,-2.356624236498174,0.3314879584184589,0.75
7,active_solvai_bq,uniform_solvai_bq,-0.017713740084780577,-0.5840803705000184,0.46501243983038776,-0.7047497751146146,0.5285481721380987,0.375
7,active_solvai_bq,random_solvai_bq,-0.34816186847583513,-1.1452742266332154,0.39439963029539615,-1.3037865770207941,0.5100750939707233,0.375
7,active_solvai_bq,curvature_solvai_bq,0.09923224961463786,-0.10598886100602337,0.3042175176069527,-0.1377322348981701,0.34439070758591017,0.25
7,active_solvai_bq,generic_bq,0.49301647831432555,-0.1789701398303726,1.2267366539452564,-0.29473977092610815,1.3715719923613798,0.375
7,active_solvai_bq,fixed_direct,-0.08338627048469224,-1.1032601980351893,0.98016641824116,-1.2866720853415536,1.1906336275753002,0.625
7,active_solvai_bq,uniform_direct,0.5157680465752524,-0.39213725578300807,1.4906416632715445,-0.5464245069397473,1.690701983764149,0.375
