total_windows,method,active_minus_method_wall_seconds,relative_difference
5,fixed_solvai_bq,0.2405706766876392,0.0002902907423782739
5,uniform_solvai_bq,0.0,0.0
5,generic_bq,0.0,0.0
5,fixed_direct,0.2405706766876392,0.0002902907423782739
5,uniform_direct,0.0,0.0
7,fixed_solvai_bq,1.064012037095381,0.0011494897143253943
7,uniform_solvai_bq,-0.8112600474269129,-0.0008746608342725731
7,generic_bq,-0.5713136605918407,-0.0006161217862519482
7,fixed_direct,1.064012037095381,0.0011494897143253943
7,uniform_direct,-0.8112600474269129,-0.0008746608342725731
