prefix_ps,stabilizer,comparison,mean_difference,ci90_low,ci90_high,ci95_low,ci95_high,fraction_molecules_below_zero
0.5,0.1,solvai_minus_generic,0.0413573669249489,-0.019186332845617438,0.10923491099130918,-0.028317925878184044,0.12311524733876157,0.5833333333333334
0.5,0.1,generic_minus_lambda,-0.1886576158677384,-0.27814423129101273,-0.09725461178793209,-0.2945551121403759,-0.08001280357731075,0.8333333333333334
0.5,0.1,structure_minus_generic,0.0867952628092521,0.026827127161066028,0.15225507293397442,0.017785152072817317,0.16575576839479778,0.3333333333333333
0.5,0.1,solvai_minus_structure,-0.04543789588430319,-0.12168267059271178,0.013162670136775065,-0.13807286264539048,0.020228837331774965,0.5
0.5,0.1,solvai_cold_minus_lambda,0.16103213651124712,0.0789827875004982,0.25561803184539644,0.06729035242380628,0.27576595158887907,0.16666666666666666
0.5,0.1,solvai_cold_minus_structure,0.04865958048356187,-0.03831260225560979,0.14504398401773178,-0.05343651551606936,0.1655106466546549,0.4166666666666667
0.5,0.1,aligned_minus_mean_shuffled,-0.003478385622652976,-0.05361072556656889,0.047555506811126226,-0.06316539354699932,0.05735098309944028,0.5833333333333334
0.5,0.25,solvai_minus_generic,0.02838307552309553,-0.027133104259727245,0.0934049499820053,-0.03463229499877988,0.10764748451026675,0.5833333333333334
0.5,0.25,generic_minus_lambda,-0.10919068022502,-0.18018410078483058,-0.04048658203735612,-0.19448143628372952,-0.027605827637942865,0.8333333333333334
0.5,0.25,structure_minus_generic,0.046865311426850666,-0.0009626254747288021,0.09870779984831224,-0.008884282680956515,0.10980245321632001,0.3333333333333333
0.5,0.25,solvai_minus_structure,-0.01848223590375514,-0.05984342224176902,0.017704522624291515,-0.06869007226910516,0.023395036135168776,0.5833333333333334
0.5,0.25,solvai_cold_minus_lambda,0.12874463620359985,0.051127598634951574,0.2253147449219557,0.04283272230960915,0.24800943981104265,0.16666666666666666
0.5,0.25,solvai_cold_minus_structure,0.028164866637781154,-0.08278908935039445,0.1341557258361276,-0.11030485533922763,0.15654185920680078,0.3333333333333333
0.5,0.25,aligned_minus_mean_shuffled,0.00037110810334955074,-0.04367008884035036,0.04760265419571982,-0.0511798241848011,0.057355215846097485,0.5833333333333334
0.5,0.5,solvai_minus_generic,0.0376674131817905,-0.008835893313336065,0.09361473335504007,-0.014149312110115605,0.10638822007558596,0.5
0.5,0.5,generic_minus_lambda,-0.06460500792199111,-0.13071105051470822,-0.003616046231484184,-0.14450212046843142,0.007227193181809805,0.8333333333333334
0.5,0.5,structure_minus_generic,0.047492027712326516,0.004356103514436438,0.0958972831626207,-0.002524872950133327,0.1061733099323642,0.4166666666666667
0.5,0.5,solvai_minus_structure,-0.009824614530536013,-0.042889115110122285,0.020170874894815113,-0.04965309184005648,0.0252886502092663,0.5
0.5,0.5,solvai_cold_minus_lambda,0.09536802393200607,0.02253039825746744,0.18673094551415184,0.014984905174432786,0.2080255275586812,0.25
0.5,0.5,solvai_cold_minus_structure,0.015653579301975418,-0.07048259447451638,0.10469564458188338,-0.08683257667255291,0.12263937775921184,0.4166666666666667
0.5,0.5,aligned_minus_mean_shuffled,0.00568914080231427,-0.030591231703976457,0.04575793077319462,-0.03621832378757212,0.05395566304725777,0.5833333333333334
1.0,0.1,solvai_minus_generic,0.06203129947938479,-0.008424056994198209,0.1374329254003376,-0.020443744528892634,0.15283314357561376,0.4166666666666667
1.0,0.1,generic_minus_lambda,-0.20123984684919505,-0.29825874429243937,-0.1045854466130069,-0.3163971579148635,-0.08644622701681619,0.8333333333333334
1.0,0.1,structure_minus_generic,0.09114001041187725,0.025732013556503723,0.15699830160035352,0.013437431862490154,0.16936768900193463,0.4166666666666667
1.0,0.1,solvai_minus_structure,-0.029108710932492454,-0.08349628318248055,0.018558337212840472,-0.09510198180799191,0.026124801271086726,0.5833333333333334
1.0,0.1,solvai_cold_minus_lambda,0.16103213651124712,0.0789827875004982,0.25561803184539644,0.06729035242380628,0.27576595158887907,0.16666666666666666
1.0,0.1,solvai_cold_minus_structure,0.04865958048356187,-0.03831260225560979,0.14504398401773178,-0.05343651551606936,0.1655106466546549,0.4166666666666667
1.0,0.1,aligned_minus_mean_shuffled,-0.0161284518195217,-0.05961041970640965,0.029572012125474705,-0.06755130581476895,0.03841666025915031,0.8333333333333334
1.0,0.25,solvai_minus_generic,0.047693841908203714,-0.017112715148333995,0.1199182491669135,-0.027198797012914885,0.13563492641312677,0.5
1.0,0.25,generic_minus_lambda,-0.11972225500188476,-0.19936249368751874,-0.041013595940132465,-0.21408436186473778,-0.026236935806695665,0.6666666666666666
1.0,0.25,structure_minus_generic,0.06095996841626943,0.0004745758643680304,0.12528303772217608,-0.01001903886593998,0.13789897924811506,0.4166666666666667
1.0,0.25,solvai_minus_structure,-0.013266126508065718,-0.04897227801507307,0.020756494207626226,-0.055910771029278536,0.026685732236718274,0.5
1.0,0.25,solvai_cold_minus_lambda,0.12874463620359985,0.051127598634951574,0.2253147449219557,0.04283272230960915,0.24800943981104265,0.16666666666666666
1.0,0.25,solvai_cold_minus_structure,0.028164866637781154,-0.08278908935039445,0.1341557258361276,-0.11030485533922763,0.15654185920680078,0.3333333333333333
1.0,0.25,aligned_minus_mean_shuffled,-0.010217233101318631,-0.047751061547669865,0.03104545109466046,-0.054115115198222215,0.039447938378905506,0.8333333333333334
1.0,0.5,solvai_minus_generic,0.025376549083865618,-0.028208035237948063,0.09036202332662499,-0.034960938733183,0.10486972519827531,0.5833333333333334
1.0,0.5,generic_minus_lambda,-0.042270872465438876,-0.10618626334373527,0.022540245046791297,-0.11798694108891325,0.03513609913570591,0.5
1.0,0.5,structure_minus_generic,0.027515571263429656,-0.028162107700329272,0.08893249960394067,-0.03697529535369244,0.10233364196047258,0.4166666666666667
1.0,0.5,solvai_minus_structure,-0.0021390221795640394,-0.031691843792001864,0.025589476114239,-0.03767684795109291,0.030421803160934204,0.4166666666666667
1.0,0.5,solvai_cold_minus_lambda,0.09536802393200607,0.02253039825746744,0.18673094551415184,0.014984905174432786,0.2080255275586812,0.25
1.0,0.5,solvai_cold_minus_structure,0.015653579301975418,-0.07048259447451638,0.10469564458188338,-0.08683257667255291,0.12263937775921184,0.4166666666666667
1.0,0.5,aligned_minus_mean_shuffled,-0.003781272039209249,-0.035746284431439894,0.031102208602254024,-0.04118152521476322,0.037949477018551635,0.8333333333333334
2.0,0.1,solvai_minus_generic,0.06101586709894783,0.01984981519569818,0.10349906197609561,0.01241532217859703,0.11234081366046997,0.25
2.0,0.1,generic_minus_lambda,-0.21237700245295524,-0.29779080061271185,-0.12205461921656449,-0.3128038069942905,-0.10429838801852366,0.8333333333333334
2.0,0.1,structure_minus_generic,0.03343440698462543,-0.013308132179228936,0.07543255672421452,-0.022918779221560628,0.08236835912331222,0.25
2.0,0.1,solvai_minus_structure,0.027581460114322404,-0.03237967312253252,0.09182683139223059,-0.043270965597012094,0.1049704509911932,0.3333333333333333
2.0,0.1,solvai_cold_minus_lambda,0.16103213651124712,0.0789827875004982,0.25561803184539644,0.06729035242380628,0.27576595158887907,0.16666666666666666
2.0,0.1,solvai_cold_minus_structure,0.04865958048356187,-0.03831260225560979,0.14504398401773178,-0.05343651551606936,0.1655106466546549,0.4166666666666667
2.0,0.1,aligned_minus_mean_shuffled,-0.007998200664913543,-0.04150776747657312,0.027982398718240688,-0.04710526446823427,0.03524442013081733,0.5833333333333334
2.0,0.25,solvai_minus_generic,0.008430356404066003,-0.03830123540373832,0.05890587434882583,-0.04606932366054851,0.06885785748317286,0.5833333333333334
2.0,0.25,generic_minus_lambda,-0.11725162137916535,-0.17878259252703885,-0.05278003775789661,-0.18959863791564366,-0.04027261649264778,0.6666666666666666
2.0,0.25,structure_minus_generic,0.0011855482682375889,-0.035013836280186984,0.03668885878414121,-0.04171388047828887,0.04323105032714295,0.5
2.0,0.25,solvai_minus_structure,0.007244808135828414,-0.01903484675681238,0.033177596417768476,-0.024145474897616558,0.03799109230483481,0.5
2.0,0.25,solvai_cold_minus_lambda,0.12874463620359985,0.051127598634951574,0.2253147449219557,0.04283272230960915,0.24800943981104265,0.16666666666666666
2.0,0.25,solvai_cold_minus_structure,0.028164866637781154,-0.08278908935039445,0.1341557258361276,-0.11030485533922763,0.15654185920680078,0.3333333333333333
2.0,0.25,aligned_minus_mean_shuffled,-0.024666589711511172,-0.060703986032634064,0.012134568022355017,-0.06740755219888324,0.01941686340693975,0.75
2.0,0.5,solvai_minus_generic,0.005052730269032209,-0.037276790193550714,0.05228281056994651,-0.043961203373543783,0.06221957057187597,0.5833333333333334
2.0,0.5,generic_minus_lambda,-0.05852105051792041,-0.11472536981593304,0.00010100742059630287,-0.1243957894396019,0.011816341260786161,0.6666666666666666
2.0,0.5,structure_minus_generic,-0.0048790913823486175,-0.038300212403162906,0.03197112537637526,-0.04360383852635808,0.03978643573649785,0.5833333333333334
2.0,0.5,solvai_minus_structure,0.009931821651380826,-0.009543017634365165,0.029749449258329386,-0.013142477613335046,0.03373986264271895,0.4166666666666667
2.0,0.5,solvai_cold_minus_lambda,0.09536802393200607,0.02253039825746744,0.18673094551415184,0.014984905174432786,0.2080255275586812,0.25
2.0,0.5,solvai_cold_minus_structure,0.015653579301975418,-0.07048259447451638,0.10469564458188338,-0.08683257667255291,0.12263937775921184,0.4166666666666667
