cohort,n,mae_difference_vs_structure,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved,material,outcome
endpoint_disjoint,220,-0.37909295008944593,-0.5169233978286898,-0.24816572831992972,1.0,0.6090909090909091,True,positive
strict_response_source_disjoint,97,-0.6027087580816224,-0.8627666685337494,-0.3585758619067549,1.0,0.5876288659793815,True,positive
