n_molecules,production_ps_per_stream_window,streams,lambda_windows,power_budget5,power_budget7,type1_budget5,type1_budget7,reference_reliability_probability,production_total_ps,projected_production_gpu_hours,operational_reservation_gpu_hours,numerically_adequate
32,1000,2,15,0.47596,0.18916,0.03548,0.03654,0.00744,960000,2595.281993609118,2880.7630129061213,False
32,1500,2,15,0.47596,0.18916,0.03548,0.03654,0.0248,1440000,3892.9229904136773,4321.144519359183,False
32,2000,2,15,0.47596,0.18916,0.03548,0.03654,0.19446,1920000,5190.563987218236,5761.526025812243,False
32,3000,2,15,0.47596,0.18916,0.03548,0.03654,0.72354,2880000,7785.845980827355,8642.289038718365,False
32,4000,2,15,0.47596,0.18916,0.03548,0.03654,0.95596,3840000,10381.127974436473,11523.052051624485,False
32,5000,2,15,0.47596,0.18916,0.03548,0.03654,0.95596,4800000,12976.409968045591,14403.815064530607,False
40,20,2,15,0.56584,0.21964,0.03464,0.03458,0.0,24000,64.88204984022795,72.01907532265304,False
40,50,2,15,0.56584,0.21964,0.03464,0.03458,0.0,60000,162.2051246005699,180.04768830663258,False
40,100,2,15,0.56584,0.21964,0.03464,0.03458,0.0,120000,324.4102492011398,360.09537661326516,False
40,200,2,15,0.56584,0.21964,0.03464,0.03458,0.0,240000,648.8204984022796,720.1907532265303,False
40,500,2,15,0.56584,0.21964,0.03464,0.03458,0.0,600000,1622.0512460056989,1800.4768830663259,False
40,1000,2,15,0.56584,0.21964,0.03464,0.03458,0.0021,1200000,3244.1024920113978,3600.9537661326517,False
40,1500,2,15,0.56584,0.21964,0.03464,0.03458,0.01526,1800000,4866.153738017097,5401.430649198977,False
40,2000,2,15,0.56584,0.21964,0.03464,0.03458,0.17614,2400000,6488.2049840227955,7201.907532265303,False
40,3000,2,15,0.56584,0.21964,0.03464,0.03458,0.75224,3600000,9732.307476034193,10802.861298397955,False
40,4000,2,15,0.56584,0.21964,0.03464,0.03458,0.9752,4800000,12976.409968045591,14403.815064530607,False
40,5000,2,15,0.56584,0.21964,0.03464,0.03458,0.9752,6000000,16220.512460056989,18004.76883066326,False
48,20,2,15,0.64704,0.25638,0.03326,0.03308,0.0,28800,77.85845980827355,86.42289038718364,False
48,50,2,15,0.64704,0.25638,0.03326,0.03308,0.0,72000,194.64614952068388,216.0572259679591,False
48,100,2,15,0.64704,0.25638,0.03326,0.03308,0.0,144000,389.29229904136776,432.1144519359182,False
48,200,2,15,0.64704,0.25638,0.03326,0.03308,0.0,288000,778.5845980827355,864.2289038718365,False
48,500,2,15,0.64704,0.25638,0.03326,0.03308,0.0,720000,1946.4614952068387,2160.5722596795913,False
48,1000,2,15,0.64704,0.25638,0.03326,0.03308,0.00042,1440000,3892.9229904136773,4321.144519359183,False
48,1500,2,15,0.64704,0.25638,0.03326,0.03308,0.0107,2160000,5839.384485620516,6481.716779038773,False
48,2000,2,15,0.64704,0.25638,0.03326,0.03308,0.0829,2880000,7785.845980827355,8642.289038718365,False
48,3000,2,15,0.64704,0.25638,0.03326,0.03308,0.78644,4320000,11678.768971241032,12963.433558077546,False
48,4000,2,15,0.64704,0.25638,0.03326,0.03308,0.95538,5760000,15571.69196165471,17284.57807743673,False
48,5000,2,15,0.64704,0.25638,0.03326,0.03308,0.98532,7200000,19464.614952068387,21605.72259679591,False
64,20,2,15,0.76888,0.31686,0.03178,0.0326,0.0,38400,103.81127974436473,115.23052051624485,False
64,50,2,15,0.76888,0.31686,0.03178,0.0326,0.0,96000,259.5281993609118,288.07630129061215,False
64,100,2,15,0.76888,0.31686,0.03178,0.0326,0.0,192000,519.0563987218236,576.1526025812243,False
64,200,2,15,0.76888,0.31686,0.03178,0.0326,0.0,384000,1038.1127974436472,1152.3052051624486,False
64,500,2,15,0.76888,0.31686,0.03178,0.0326,0.0,960000,2595.281993609118,2880.7630129061213,False
64,1000,2,15,0.76888,0.31686,0.03178,0.0326,0.00018,1920000,5190.563987218236,5761.526025812243,False
