molecule_id,molecule_name,total_windows,active_solvai_bq,generic_bq,observed_effect,generic_reference_mae,minimum_useful_effect
DLFVBJFMPXGRIB-UHFFFAOYSA-N,Acetamide,5,3.00403253745416,1.9803829188729463,1.0236496185812136,1.7095260341436944,-0.34190520682873893
DLFVBJFMPXGRIB-UHFFFAOYSA-N,Acetamide,7,3.669622397367581,1.4318944612373325,2.2377279361302485,1.1144982433475654,-0.2228996486695131
KBPLFHHGFOOTCA-UHFFFAOYSA-N,Octanol,5,0.6861622664851037,1.7283472190873947,-1.042184952602291,1.7095260341436944,-0.34190520682873893
KBPLFHHGFOOTCA-UHFFFAOYSA-N,Octanol,7,0.16964508913708976,0.86089845100215,-0.6912533618650603,1.1144982433475654,-0.2228996486695131
LCGLNKUTAGEVQW-UHFFFAOYSA-N,DiMethylEther,5,2.150578825978034,2.456515076589082,-0.30593625061104834,1.7095260341436944,-0.34190520682873893
LCGLNKUTAGEVQW-UHFFFAOYSA-N,DiMethylEther,7,1.3873831603641031,1.7551647713019376,-0.36778161093783446,1.1144982433475654,-0.2228996486695131
MWPLVEDNUUSJAV-UHFFFAOYSA-N,Anthracene,5,2.0787845349420877,0.31961419904878596,1.7591703358933017,1.7095260341436944,-0.34190520682873893
MWPLVEDNUUSJAV-UHFFFAOYSA-N,Anthracene,7,2.73344275919184,0.23004830416323863,2.5033944550286016,1.1144982433475654,-0.2228996486695131
QTBSBXVTEAMEQO-UHFFFAOYSA-N,AceticAcid,5,1.9149875214223062,1.1898824975111513,0.7251050239111549,1.7095260341436944,-0.34190520682873893
QTBSBXVTEAMEQO-UHFFFAOYSA-N,AceticAcid,7,1.2930585393528524,0.592271306383708,0.7007872329691445,1.1144982433475654,-0.2228996486695131
TVMXDCGIABBOFY-UHFFFAOYSA-N,Octane,5,2.665682440118147,3.4562856375115603,-0.7906031973934131,1.7095260341436944,-0.34190520682873893
TVMXDCGIABBOFY-UHFFFAOYSA-N,Octane,7,2.0827859999652047,1.6046778500463523,0.4781081499188524,1.1144982433475654,-0.2228996486695131
XDTMQSROBMDMFD-UHFFFAOYSA-N,Cyclohexane,5,0.4227913717389349,1.4231431120516111,-1.0003517403126763,1.7095260341436944,-0.34190520682873893
XDTMQSROBMDMFD-UHFFFAOYSA-N,Cyclohexane,7,0.9619266523539267,1.9511551645104745,-0.9892285121565478,1.1144982433475654,-0.2228996486695131
XEKOWRVHYACXOJ-UHFFFAOYSA-N,EthylAcetate,5,0.6869674034750455,1.1220376124770226,-0.4350702090019771,1.7095260341436944,-0.34190520682873893
XEKOWRVHYACXOJ-UHFFFAOYSA-N,EthylAcetate,7,0.5622531755625317,0.48987563813532997,0.07237753742720177,1.1144982433475654,-0.2228996486695131
