regime,lambda,component,n,mae,rmse,pearson_r,target_std,normalized_mae
random_oof,0.10000000149011612,lig_slv__dhdl_mean,72,3.5647344127953553,4.919325250317473,0.9032283877071651,11.18977048296691,0.3185708248637987
random_oof,0.10000000149011612,lig_slv__dhdl_coul_mean,72,4.118682843583476,5.270496784374977,0.8665172471294509,10.426217128467734,0.39503137071045913
random_oof,0.10000000149011612,lig_slv__dhdl_vdw_mean,72,5.199170323176148,6.997984824479522,0.9120373752499886,16.891210303788867,0.30780330300013625
random_oof,0.10000000149011612,lig__dhdl_pol_mean,72,0.0,0.0,,0.0,
random_oof,0.5,lig_slv__dhdl_mean,74,2.350203610813687,2.853051860950778,0.5419176015264666,3.3872927257496452,0.6938294978015402
random_oof,0.5,lig_slv__dhdl_coul_mean,74,4.02837795687748,5.14973796574596,0.774283382161348,8.131856086731633,0.49538234738934883
random_oof,0.5,lig_slv__dhdl_vdw_mean,74,3.5236785080387594,4.645064864640714,0.9032378287936338,10.657808382954297,0.3306194276934459
random_oof,0.5,lig__dhdl_pol_mean,74,0.0,0.0,,0.0,
random_oof,0.8999999761581421,lig_slv__dhdl_mean,73,3.481236002617594,4.559949452376007,0.7931119385158913,7.4684478825208345,0.466125767679933
random_oof,0.8999999761581421,lig_slv__dhdl_coul_mean,73,3.9166877794870545,5.272564672715617,0.8732255543644502,10.819095213449653,0.3620162039629767
random_oof,0.8999999761581421,lig_slv__dhdl_vdw_mean,73,1.274694969273048,1.7046162498322635,0.9401316201762405,4.9589333931690005,0.2570502300008623
random_oof,0.8999999761581421,lig__dhdl_pol_mean,73,0.0,0.0,,0.0,
