total_windows,candidate,comparator,candidate_minus_comparator_mae,ci90_low,ci90_high,ci95_low,ci95_high,fraction_candidate_improved
5,active_solvai_bq,fixed_solvai_bq,-1.3429011040902452,-2.508553980855612,-0.2787667850426496,-2.7471350233877483,-0.11750722835823701,0.75
5,active_solvai_bq,uniform_solvai_bq,0.0,0.0,0.0,0.0,0.0,0.0
5,active_solvai_bq,random_solvai_bq,-0.14335419498282717,-0.6026962036928105,0.29442749768150034,-0.699549347294379,0.36565245850480854,0.5
5,active_solvai_bq,curvature_solvai_bq,0.1801880601673138,0.0,0.5405641805019414,0.0,0.5405641805019414,0.0
5,active_solvai_bq,generic_bq,-0.00827767144196695,-0.5579874332330288,0.5889305564641765,-0.6434486524021824,0.7030696590658864,0.625
5,active_solvai_bq,fixed_direct,-0.025822128539628397,-0.7364140642608448,0.6925734985465706,-0.8724686860892266,0.8173799368391543,0.5
5,active_solvai_bq,uniform_direct,0.5483685250142926,-0.10107235017739175,1.1589932376013172,-0.22262474746955335,1.2653327615954042,0.25
7,active_solvai_bq,fixed_solvai_bq,-0.9403822893935138,-2.1234975674944003,0.1338013111962634,-2.356624236498173,0.33148795841845935,0.75
7,active_solvai_bq,uniform_solvai_bq,-0.0177137400847808,-0.5840803705000188,0.46501243983038754,-0.7047497751146146,0.5285481721380987,0.375
7,active_solvai_bq,random_solvai_bq,-0.34816186847583486,-1.1452742266332152,0.39439963029539643,-1.303786577020794,0.5100750939707233,0.375
7,active_solvai_bq,curvature_solvai_bq,0.09923224961463831,-0.10598886100602314,0.3042175176069538,-0.1377322348981701,0.3443907075859113,0.25
7,active_solvai_bq,generic_bq,0.49301647831432577,-0.17897013983037238,1.2267366539452569,-0.29473977092610726,1.37157199236138,0.375
7,active_solvai_bq,fixed_direct,-0.08338627048469202,-1.103260198035189,0.9801664182411602,-1.2866720853415536,1.1906336275753002,0.625
7,active_solvai_bq,uniform_direct,0.5157680465752527,-0.39213725578300807,1.4906416632715445,-0.5464245069397473,1.690701983764149,0.375
